time_s,linear_mps,angular_rps
45.541289536,0.015,1.0529771499179219e-14
45.551538197,0.015,1.0529771499179219e-14
45.560141075,0.015,1.0529771499179219e-14
45.569146022,0.015,1.0529771499179219e-14
45.57780821,0.015,1.0529771499179219e-14
45.585019449,0.015,1.0529771499179219e-14
45.598266726,0.015,1.0529771499179219e-14
45.604763342,0.015,1.0529771499179219e-14
45.616709194,0.015,1.0529771499179219e-14
45.62279604,0.015,1.0529771499179219e-14
45.638828995,0.015,1.0529771499179219e-14
45.644197517,0.015,1.0529771499179219e-14
45.653222668,0.015,1.0529771499179219e-14
45.662099593,0.015,1.0529771499179219e-14
45.671109041,0.015,1.0529771499179219e-14
45.677861601,0.015,1.0529771499179219e-14
45.690443163,0.015,1.0529771499179219e-14
45.696427991,0.015,1.0529771499179219e-14
45.708322534,0.015,1.0529771499179219e-14
45.714546104,0.015,1.0529771499179219e-14
45.722957849,0.015,1.0529771499179219e-14
45.731571929,0.015,1.0529771499179219e-14
45.739637815,0.015,1.0529771499179219e-14
45.744705385,0.015,1.0529771499179219e-14
45.756336084,0.015,1.0529771499179219e-14
45.762900812,0.015,1.0529771499179219e-14
45.774145244,0.015,1.0529771499179219e-14
45.778719129,0.015,1.0529771499179219e-14
45.788123345,0.015,1.0529771499179219e-14
45.795851273,0.015,1.0529771499179219e-14
45.805575544,0.015,1.0529771499179219e-14
45.816210171,0.015,1.0529771499179219e-14
45.825976649,0.015,1.0529771499179219e-14
45.831781146,0.015,1.0529771499179219e-14
45.844424218,0.015,1.0529771499179219e-14
45.85037324,0.015,1.0529771499179219e-14
45.862602442,0.015,1.0529771499179219e-14
45.867557293,0.015,1.0529771499179219e-14
45.877935876,0.015,1.0529771499179219e-14
45.887184865,0.015,1.0529771499179219e-14
45.89896939,0.015,1.0529771499179219e-14
45.908258986,0.015,1.0529771499179219e-14
45.917626795,0.015,1.0529771499179219e-14
45.927669621,0.015,1.0529771499179219e-14
45.938803934,0.015,1.0529771499179219e-14
45.944387893,0.015,1.0529771499179219e-14
45.958486616,0.015,1.0529771499179219e-14
45.963146616,0.015,1.0529771499179219e-14
45.977023501,0.015,1.0529771499179219e-14
45.981724508,0.015,1.0529771499179219e-14
45.993902501,0.015,1.0529771499179219e-14
45.999592778,0.015,1.0529771499179219e-14
46.009210431,0.015,1.0529771499179219e-14
46.016520887,0.015,1.0529771499179219e-14
46.027254631,0.015,1.0529771499179219e-14
46.035860409,0.015,1.0529771499179219e-14
46.04697812,0.015,1.0529771499179219e-14
46.052614588,0.015,1.0529771499179219e-14
46.066777921,0.015,1.0529771499179219e-14
46.071825589,0.015,1.0529771499179219e-14
46.082073649,0.015,1.0529771499179219e-14
46.089721663,0.015,1.0529771499179219e-14
46.102342332,0.015,1.0529771499179219e-14
46.109447253,0.015,1.0529771499179219e-14
46.115873757,0.015,1.0529771499179219e-14
46.125065136,0.015,1.0529771499179219e-14
46.134236012,0.015,1.0529771499179219e-14
46.142098362,0.015,1.0529771499179219e-14
46.153890789,0.015,1.0529771499179219e-14
46.159844311,0.015,1.0529771499179219e-14
46.170418628,0.015,1.0529771499179219e-14
46.178243773,0.015,1.0529771499179219e-14
46.1900411,0.015,1.0529771499179219e-14
46.194239221,0.015,1.0529771499179219e-14
46.20418553,0.015,1.0529771499179219e-14
46.212273019,0.015,1.0529771499179219e-14
46.221193852,0.015,1.0529771499179219e-14
46.230339223,0.015,1.0529771499179219e-14
46.239724036,0.015,1.0529771499179219e-14
46.245842587,0.015,1.0529771499179219e-14
46.257246446,0.015,1.0529771499179219e-14
46.265099996,0.015,1.0529771499179219e-14
46.273933813,0.015,1.0529771499179219e-14
46.283163199,0.015,1.0529771499179219e-14
