time_s,x_m,y_m,yaw_rad,front_distance_m,left_distance_m,right_distance_m
54.866628963,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7454482316970825,inf,inf
54.967355912,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7450551986694336,inf,inf
55.067896561,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7479525804519653,inf,inf
55.171885209,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7494205832481384,inf,inf
55.273518458,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7474023699760437,inf,inf
55.378167705,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7543753981590271,inf,inf
55.480376153,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7493272423744202,inf,inf
55.581383201,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7391587495803833,inf,inf
55.683684049,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7434720396995544,inf,inf
55.788511194,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7400028109550476,inf,inf
55.889124142,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7504318356513977,inf,inf
55.99161359,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7696653008460999,inf,inf
56.093109661,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7516875863075256,inf,inf
56.196887361,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7397456765174866,inf,inf
56.299062856,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7497538328170776,inf,inf
56.402238855,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7535353302955627,inf,inf
56.502253644,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7525064945220947,inf,inf
56.606137343,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7388840317726135,inf,inf
56.709576741,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7488939762115479,inf,inf
56.812214036,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7625694870948792,inf,inf
56.914544031,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7463130950927734,inf,inf
57.015711022,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7679834365844727,inf,inf
57.117885417,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7575578689575195,inf,inf
57.22333612,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7584283351898193,inf,inf
57.327692621,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7465054988861084,inf,inf
57.430286917,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7527626752853394,inf,inf
57.531407507,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7528706192970276,inf,inf
