"relative_path","file_type","size_bytes","sha256"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_G_trial04_attempt01/objective5_impairment_matrix_v1_condition_G_trial04_attempt01_0.db3","rosbag2_sqlite3","380928","e29b1756efc05ce40b29af711b4b2e2294b77bddef93e066e87001477c9dddac"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_G_trial05_attempt01/metadata.yaml","rosbag2_metadata","4524","04f55b6c9c46373daff464106e4dd310e4aef7de78f7d62256aa9174b773141d"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_G_trial05_attempt01/objective5_impairment_matrix_v1_condition_G_trial05_attempt01_0.db3","rosbag2_sqlite3","372736","87425a355a40f6f2dd81db1c519acfe1788407a35a65a60843e30ad9899ade34"
"experiments/06_physical_pipuck/single_device_bringup/physical_expanded_bridge_epuckstate_integration_pilot01_attempt01/metadata.yaml","rosbag2_metadata","6778","b7cceedfd6ee1b956c65326322bce43a52040f84576f37250f550d3f03b54ab9"
"experiments/06_physical_pipuck/single_device_bringup/physical_expanded_bridge_epuckstate_integration_pilot01_attempt01/physical_expanded_bridge_epuckstate_integration_pilot01_attempt01_0.db3","rosbag2_sqlite3","5242880","dbf8d7c62cff17d5fbaad59f2442330932a475c8b749e6973c26fada591af38c"
"experiments/06_physical_pipuck/single_device_bringup/physical_single_device_transport_diagnostic_pilot01_attempt01/metadata.yaml","rosbag2_metadata","2043","a2d5bd41e7655372d75e9771c2a5e567facab9b154702ae4afe2427cf8c0662d"
"experiments/06_physical_pipuck/single_device_bringup/physical_single_device_transport_diagnostic_pilot01_attempt01/physical_single_device_transport_diagnostic_pilot01_attempt01_0.db3","rosbag2_sqlite3","2981888","a0d108ca2c7bb5b2006130a395e026ca80bc3f3422ad74a649433d88954a4544"
"experiments/10_cooperative_exit_navigation_20260720/bags/cooperative_exit_n2_comm_off_EXCLUSIONARY_PILOT02/bag/cooperative_exit_n2_comm_off_EXCLUSIONARY_PILOT02_0.db3","rosbag2_sqlite3","208896","1437e932c958cc417d043f7e3d52094883093e40916d4f8399b7ed6d45c1b1ad"
"experiments/10_cooperative_exit_navigation_20260720/bags/cooperative_exit_n2_comm_off_EXCLUSIONARY_PILOT02/bag/metadata.yaml","rosbag2_metadata","2548","9f96b1c3cf65f1023c1f99b07f263d94916b56732f2d9a5bae46b8fe327bf049"
"experiments/10_cooperative_exit_navigation_20260720/bags/cooperative_exit_n2_comm_off_EXCLUSIONARY_PILOT03/bag/cooperative_exit_n2_comm_off_EXCLUSIONARY_PILOT03_0.db3","rosbag2_sqlite3","200704","f67d3e35f3899256c818052c1abe9d026da3a4d8532f153a54a1ed960e8d5222"
"experiments/10_cooperative_exit_navigation_20260720/bags/cooperative_exit_n2_comm_off_EXCLUSIONARY_PILOT03/bag/metadata.yaml","rosbag2_metadata","2540","5b1e060622ee909af2922725206a9b6b46416abcbf5fc67a8011a48a4465e77f"
"experiments/10_cooperative_exit_navigation_20260720/bags/cooperative_exit_n2_comm_off_EXCLUSIONARY_PILOT04/bag/cooperative_exit_n2_comm_off_EXCLUSIONARY_PILOT04_0.db3","rosbag2_sqlite3","40960","3c112e693228ee6c4e7e6fa45133a0ae33e128933ad96e360d70784ecd273b1a"
"experiments/10_cooperative_exit_navigation_20260720/bags/cooperative_exit_n2_comm_off_EXCLUSIONARY_PILOT04/bag/metadata.yaml","rosbag2_metadata","2532","a11292ef90d4386db7af26829c7d91284728f4a14adfbe4c53b6c8d4cd52e3b3"
"experiments/10_cooperative_exit_navigation_20260720/bags/cooperative_exit_n2_comm_off_EXCLUSIONARY_PILOT05/bag/cooperative_exit_n2_comm_off_EXCLUSIONARY_PILOT05_0.db3","rosbag2_sqlite3","118784","b4d47d26308cfe08f1cd8fb86e0aa795b6495bb2946d32c3d4ff4bfe60fc52bb"
"experiments/10_cooperative_exit_navigation_20260720/bags/cooperative_exit_n2_comm_off_EXCLUSIONARY_PILOT05/bag/metadata.yaml","rosbag2_metadata","2538","c42da031006f07fd421c2446d3767eca703bdd246bf05594d0f36d370d2412cc"
"experiments/10_cooperative_exit_navigation_20260720/bags/cooperative_exit_n2_comm_off_EXCLUSIONARY_PILOT06/bag/cooperative_exit_n2_comm_off_EXCLUSIONARY_PILOT06_0.db3","rosbag2_sqlite3","114688","a244dd9cb7ca7513729a28b9288e34cab8e582226e4722bf962655bb44e243c6"
"experiments/10_cooperative_exit_navigation_20260720/bags/cooperative_exit_n2_comm_off_EXCLUSIONARY_PILOT06/bag/metadata.yaml","rosbag2_metadata","2538","7d0eb81bdd4c5a64d26a3563682e0093475094acfb0679d6dc56a30da5480291"
"experiments/10_cooperative_exit_navigation_20260720/bags/cooperative_exit_n2_comm_on_EXCLUSIONARY_PILOT01/bag/cooperative_exit_n2_comm_on_EXCLUSIONARY_PILOT01_0.db3","rosbag2_sqlite3","290816","d845daa6724dddae537c8bb14270a63510178a59862f040d626a57bdbd8bf9bb"
"experiments/10_cooperative_exit_navigation_20260720/bags/cooperative_exit_n2_comm_on_EXCLUSIONARY_PILOT01/bag/metadata.yaml","rosbag2_metadata","4498","ecd083ad0fed764159debec30a48456463a69c1598aa15909b86549b67dd1114"
"experiments/10_cooperative_exit_navigation_20260720/bags/cooperative_exit_n2_comm_on_EXCLUSIONARY_PILOT02/bag/cooperative_exit_n2_comm_on_EXCLUSIONARY_PILOT02_0.db3","rosbag2_sqlite3","176128","338e80dd93a9c288bbb3e6d4ceeda7d01c3c89b42bb4b58c6996ae46a2dfd28c"
"experiments/10_cooperative_exit_navigation_20260720/bags/cooperative_exit_n2_comm_on_EXCLUSIONARY_PILOT02/bag/metadata.yaml","rosbag2_metadata","4498","a1eb2fc0d24b3b6eef7098ad9af79b9be68ae8135cf60c3a9d8280ba9286c9b2"
"experiments/10_cooperative_exit_navigation_20260720/bags/cooperative_exit_n2_n2_comm_off_EXCLUSIONARY_PILOT01/bag/cooperative_exit_n2_n2_comm_off_EXCLUSIONARY_PILOT01_0.db3","rosbag2_sqlite3","32768","de470f8c49ad76d252fc4092c899575084ed2825ffad062922fca8731de26d7d"
"experiments/10_cooperative_exit_navigation_20260720/bags/cooperative_exit_n2_n2_comm_off_EXCLUSIONARY_PILOT01/bag/metadata.yaml","rosbag2_metadata","1582","3d90cd96add94976b725df599374814ca9246d33c25c6c029b17d59fa6102aa0"
"experiments/10_cooperative_exit_navigation_20260720/bags/shared_exit_formal_20260721/shared_exit_n2_n2_exit_comm_off_trial01_attempt01/metadata.yaml","rosbag2_metadata","3552","c63550f7bacf9dad594366b37b6e139fdc57844585019bf57bc47c076a1fdbae"
